,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
10640,5817,Alia Shanee Atkinson,F,23.0,172.0,71.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,
10641,5817,Alia Shanee Atkinson,F,23.0,172.0,71.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Breaststroke,
10642,5817,Alia Shanee Atkinson,F,23.0,172.0,71.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Breaststroke,
10643,5817,Alia Shanee Atkinson,F,27.0,172.0,71.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,
10650,5823,Janelle Anya Monique Atkinson (-Wignall),F,17.0,168.0,66.0,Jamaica,JAM,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Freestyle,
10651,5823,Janelle Anya Monique Atkinson (-Wignall),F,17.0,168.0,66.0,Jamaica,JAM,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 800 metres Freestyle,
10652,5823,Janelle Anya Monique Atkinson (-Wignall),F,21.0,168.0,66.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Freestyle,
10653,5823,Janelle Anya Monique Atkinson (-Wignall),F,21.0,168.0,66.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 400 metres Freestyle,
10658,5827,Joanne Louise Atkinson,F,17.0,165.0,62.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Butterfly,
10659,5827,Joanne Louise Atkinson,F,17.0,165.0,62.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Butterfly,
10747,5882,"Susanne Jean ""Susie"" Atwood",F,15.0,170.0,66.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Backstroke,
10748,5882,"Susanne Jean ""Susie"" Atwood",F,19.0,170.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Backstroke,Bronze
10749,5882,"Susanne Jean ""Susie"" Atwood",F,19.0,170.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Backstroke,Silver
10750,5882,"Susanne Jean ""Susie"" Atwood",F,19.0,170.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
10754,5886,"Hoi Shun ""Stephanie"" Au",F,16.0,172.0,56.0,Hong Kong,HKG,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Freestyle,
